Songs,Band
If I could have my wasted days back Would I use them to get back on track? Stop to warm at karmas burning Or look ahead but keep on turning? Do I have the strength To know how I ll go? Can I find it inside To deal with what I shouldn t know? Could I have my wasted days back Would I use them to get back on track? You live it or lie it My lifestyle determines my deathstyle Keep searching keep on searching This search goes on this search goes on Frantic tick tick tick tick tick tick tock Frantic tick tick tick tick tick tick tock I ve worn out always being afraid An endless stream of fear that I ve made Treading water full of worry This frantic tick tick talk of hurry Do I have the strength To know how I ll go? Can I find it inside To deal with what I shouldn t know Worn out always being afraid An endless stream of fear that I ve made You live it or lie it Keep searching keep on searching This search goes on this search goes on My lifestyle determines my deathstyle Frantic tick tick tick tick tick tick tock Frantic tick tick tick tick tick tick tock My lifestyle Birth is pain Determines by deathstyle Life is pain A rising tide Death is pain That pushes to the other side It s all the same ,Metallica
I won t go away Right here I ll stay Stand silent in flames Stand tall till it fades Shoot me again I ain t dead yet Repeat: x 4 Shoot me again Shoot me again Shoot me Shoot me again Shoot me again see mon Repeat: x 2 All the shots I take I spit back at you All the shit you fake Comes back to haunt you All the shots All the shots All the shots I take What difference did I make? All the shots I take I spit back at you I won t go away With a bullet in my back Right here I ll stay With a bullet in my back Shoot me Take a shot Shoot me Take a shot Shoot me Take a shot Shoot me Take a shot I ll stand on my own With a bullet in my back I m stranded and sold With a bullet in my back Shoot me again I ain t dead yet Repeat: x 4 Shoot me again Shoot me again see mon Shoot me again Shoot me again see mon Repeat: x 2 All the shots I take I spit back at you All the shit you fake Comes back to haunt you All the shots All the shots All the shots I take What difference did I make? All the shots I take I spit back at you I bite my tongue Trying not to shoot back No compromise My heart won t pump the other way Wake the sleeping giant Wake the beast Wake the sleeping dog No let him sleep I bite my tongue Trying not to shoot back All the shots I take I spit back at you All the shit you fake Comes back to haunt you All the shots All the shots All the shots I take What difference did I make? All the shots I take I spit back at you,Metallica
Been here before Repeat: x6 Been here before couldn t say I liked it Do I start writing all this down? Just let me plug you into my world Can t you help me be un-crazy? Name this for me heat the cold air Take the chill off of my life And if I could I d turn my eyes To look inside to see what s comin Chorus It comes alive It comes alive It comes alive And I die a little more It comes alive It comes alive It comes alive Each moment here I die a little more Then the unnamed feeling It comes alive Then the unnamed feeling Takes me away Been here before Repeat: x6 I m frantic in your soothing arms I can not sleep in this down filled world I ve found safety in this loneliness But I can not stand it anymore Cross my heart hope not to die Swallow evil ride the sky Lose myself in a crowded room You fool you fool it ll be here soon Chorus Oh I die I die I die a little more Then the unnamed feeling It comes alive Then the unnamed feeling Treats me this way And I wait for this train Toes over the line And then the unnamed feeling Takes me away Takes me Then the unnamed feeling It comes alive Then the unnamed feeling Takes me away Takes me away Then the unnamed feeling It comes alive Then the unnamed feeling Treats me this way And I wait for this train Toes over the line And then the unnamed feeling Takes me away Takes me away Then the unnamed feeling It comes alive Then the unnamed feeling Takes me away Get the fuck out of here I just want to get the fuck away from me I rage I glaze I hurt I hate I hate it all Why? Why? Why me? I cannot sleep with a head like this I want to cry I want to scream I rage I glaze I hurt I hate I want to hate it all away,Metallica
Saint Anger round my neck Saint Anger round my neck He never gets respect Saint Anger round my neck You flush it out you flush it out Saint Anger round my neck You flush it out you flush it out He never gets respect You flush it out you flush it out Saint Anger round my neck You flush it out you flush it out He never gets respect F*** it all and f***in regrets I hit the lights on these dark sets I need a voice to let myself To let myself go free F*** it all and f***in no regrets I it the lights on these dark sets I tie a noose to hang myself Saint Anger round my neck I feel my world shake Like an Earth Quake It s hard to see clear Is it me? Is it fear? I m madly in anger with you I m madly in anger with you I m madly in anger with you I m madly in anger with you Saint Anger round my neck Saint Anger round my neck He never gets respect Saint Anger round my neck You flush it out you flush it out Saint Anger round my neck You flush it out you flush it out He never gets respect You flush it out you flush it out Saint Anger round my neck You flush it out you flush it out He never gets respect F*** it all and f***in no regrets I hit the lights on these dark sets I need a voice to let myself To let myself go free F*** it all and f***in no regrets I hit the lights on these dark sets Medallion noose I hang myself Saint Anger round my neck I feel my world shake Like an Earth Quake It s hard to see clear Is it me? Is it fear? I m madly in anger with you I m madly in anger with you I m madly in anger with you I m madly in anger with you And I want my anger to be healthy And I want my anger just for me And I need my anger not to control And I want my anger to be me And I need to set my anger free And I need to set my anger free And I need to set my anger free And I need to set my anger free Set it free F*** it all and f***in no regrets I hit the lights on these dark sets I need a voice to let myself To let myself go free F*** it all and f***in no regrets I it the lights on these dark sets I tie noose to hang myself Saint Anger round my neck I feel my world shake Like an Earth Quake It s hard to see clear Is it me? Is it fear? I m madly in anger with you I m madly in anger with you I m madly in anger with you I m madly in anger with you ,Metallica
All within my hands Squeeze it in crush it down All with my hands Hold it dear hold it suffocate All within my hands Love to death smack you round and round and All within my hands Beware Love is control I ll die if I let go Hate me now Kill all within my hands Hate me now Crush all within my hands Squeeze all within my hands Choke all within my hands Hate me now Trap all within my hands Hurry up and hate me now Kill all within my hands All within my hands Take your fear pump me up All within my hands Let you run then I pull your leash All within my hands Under thumb under to myself All within my hands Beware Love is control I ll die if I let go Hate me now Kill all within my hands Hate me now Crush all within my hands Squeeze all within my hands Choke all within my hands Hate me now Trap all within my hands Hurry up and hate me now Kill all within my hands again I ll die if I let go Control is love love is control I ll fall if I let go Control is love love is control I will only let you breathe My air that you receive Then we ll see if I let you love me Kill kill kill kill kill,Metallica
I see my reflection in the window It looks different so different than what you see Projecting judgment on the world This house is clean baby This house is clean Am I who I think I am? Am I who I think I am? Am I who I think I am? Look out my window and see it s gone wrong Court is in session and I slam my gavel down I m judge and I m jury and I m executioner too Projector Protector Rejector Infector Projector Rejector Infector Injector Defector Rejector I see my reflection in the window This window clean inside dirty on the out I m looking different than me This house is clean baby This house is clean Am I who I think I am? Am I who I think I am? Am I who I think I am? I look my window and see it s gone wrong My court is in session and now I slam my gavel down Projector Protector Rejector Infector Projector Rejector Infector Injector Defector Rejector I drink from the cup of denial I m judging the world from my throne I drink from the cup of denial I m judging the world from my throne,Metallica
Invisible kid Never see what he did Got stuck where he hid Fallen through the grid Invisible kid Got a place of his own Where he ll never be known Inward he s grown Invisible kid Locked away in his brain From the shame and the pain World down the drain Invisible kid Suspicious of your touch Don t want no crutch But it s all too much I hide inside I hurt inside I hide inside But I ll show you I m ok just go away Into distance let me fade I m ok just go away I m ok but please don t stray too far Open your heart I m beating right here Open your mind I m being right here right now x2 Invisible kid Never see what he did Got stuck where he hid Fallen through the grid Invisible kid Got a place of his own Where he ll never be known Inward he s grown I hide inside I hurt inside I hide inside But I ll show you I m ok just go away Into distance let me fade I m ok just go away I m ok but please don t stray too far Open your heart I m beating right here Open your mind I m being right here right now x2 Oooh what a good boy you are Out of the way and you re kept to yourself Oooh can t you see that he s not here? He doesn t want the attention you give Oooh unplugging from it all Invisible kid floats alone in his room Oooh what a quiet boy you are He looks so calm floating round and around in himself Invisible kid Locked away in his brain From the shame and the pain World down the drain Invisible kid Suspicious of your touch Don t want no crutch But it s all too much I hide inside I hurt inside I hide inside But I ll show you I m ok just go away Into distance let me fade I m ok just go away I m ok but please don t stray too far Open your heart I m beating right here Open your mind I m being right here right now x2 ,Metallica
The motherfuckers got in my head Trying to make me someone else instead It s my world now It s my world now It s my world It s my world Mama why s it rainin in my room? Cheer up boy Clouds will move on soon Heavy fog got me lost inside Gonna sit right back and enjoy this ride It s my world You can t have it It s my world It s my world It s my world Sucka I m out of my head out of my head Get em out of my head out of my head Get em out Who s in charge of my head today? Dancin devils in angels way It s my time now It s my time now It s my time Yeah it s my time Look out motherfuckers here I come I m gonna make my head my home The sons of bitches tried to take my head Tried to make me someone else instead It s my world You can t have it It s my world it s my world It s my world Sucka I m out of my head out of my head Get em out of my head out of my head Get em out Not only do I not know the answer I DON T EVEN KNOW WHAT THE QUESTION IS x2 God it feels Like it only rains on me x4 Not only do I not know the answer I DON T EVEN KNOW WHAT THE QUESTION IS x2 Sucka I m out of my head out of my head Out of my head get em out of my head Get em out Enough s enough x8 ,Metallica
Purify Tear it down Strip the layers off My turpentine Old paint old looks Cover up the past White heat white light Super white bones Bones of you and I Pure if I Can t you help me? Pure if I Won t you help me? Purify you and I Purify you and I Pure if I Can t you help me? Pure if I Won t you help me? You and I Purify x3 Truth and dare Peeling back the skin Acid wash Ghost white Ultra clean Want to be skeleton Clear eyes Diamond eyes Strip the past of mine My sweet turpentine Pure if I Can t you help me? Pure if I Won t you help me? Purify you and I Purify you and I Pure if I Can t you help me? Pure if I Won t you help me? You and I Purify x3 I can find the dirt on anything I can find the dirt on anything I ain t dancing with your skeletons I ain t dancing with what might have been Pure if I Can t you help me? Pure if I Won t you help me? Purify you and I Purify you and I Pure if I Can t you help me? Pure if I Won t you help me? You and I Purify You and I Purify C mon Purify ,Metallica
I won t go away Right here I ll stay Stand silent in flames Stand tall till it fades Shoot me again I ain t dead yet x4 Shoot me again Shoot me again Shoot me Shoot me again Shoot me again C mon x2 All the shots I take I spit back at you All the shit you fake Comes back to haunt you All the shots All the shots All the shots I take What difference did I make? All the shots I take I spit back at you I won t go away With a bullet in my back Right here I ll stay With a bullet in my back Shoot me Take a shot Shoot me Take a shot Shoot me Take a shot Shoot me Take a shot I ll stand on my own With a bullet in my back I m stranded and sold With a bullet in my back Shoot me again I ain t dead yet x4 Shoot me again Shoot me again C mon Shoot me again Shoot me again C mon x2 All the shots I take I spit back at you All the shit you fake Comes back to haunt you All the shots All the shots All the shots I take What difference did I make? All the shots I take I spit back at you I bite my tongue Trying not to shoot back No compromise My heart won t pump the other way Wake the sleeping giant Wake the beast Wake the sleeping dog No let him sleep I bite my tongue Trying not to shoot back All the shots I take I spit back at you All the shit you fake Comes back to haunt you All the shots All the shots All the shots I take What difference did I make? All the shots I take I spit back at you,Metallica
Wash your back so you won t stab mine Get in bed with your own kind Live your life so you don t see mine Drape your back so you won t shine Oooh then she hold my hand And I lie to get a smile x2 Using what I want To get what you want x4 Ooh sweet amber How sweet are you? How sweet does it get? x2 Chase the rabbit fetch the stick She rolls me over till I m sick She deals in habits deals in pain I run away but I m back again Oooh then she holds my hand And I lie to get a smile And she squeezes tighter I still lie to get a smile Using what I want To get what you want x4 Ooh sweet amber How sweet are you? How sweet does it get? x2 She holds the pen that spells the end She traces me and draws me in x2 Ooh sweet amber Ooh sweet amber How sweet are you? Oooh how sweet does it get? x2 It s never as sweet as it seems ,Metallica
There s no stoppin the cretins from hoppin You gotta keep it beatin for all the hoppin cretins Cretin Cretin I m gonna go for a whirl with my cretin girl My feet won t stop doin the Cretin Hop Cretin Cretin 1-2-3-4 cretins wanna hop some more 4-5-6-7 All good cretins go to heaven There s no stoppin the cretins from hoppin You gotta keep it beatin for all the hoppin cretins Cretin Cretin I m gonna go for a whirl with my cretin girl My feet won t stop doin the Cretin Hop Cretin Cretin 1-2-3-4 cretins wanna hop some more 4-5-6-7 All good cretins go to heaven,Metallica
Saint Anger round my neck Saint Anger round my neck He never gets respect Saint Anger round my neck You flush it out you flush it out Saint Anger round my neck You flush it out you flush it out He never gets respect You flush it out you flush it out Saint Anger round my neck You flush it out you flush it out He never gets respect Fuck it all and fuckin regrets I hit the lights on these dark sets I need a voice to let myself To let myself go free Fuck it all and fuckin no regrets I it the lights on these dark sets I tie a noose to hang myself Saint Anger round my neck I feel my world shake Like an earthquake It s hard to see clear Is it me? Is it fear? I m madly in anger with you I m madly in anger with you I m madly in anger with you I m madly in anger with you Saint Anger round my neck Saint Anger round my neck He never gets respect Saint Anger round my neck You flush it out you flush it out Saint Anger round my neck You flush it out you flush it out He never gets respect You flush it out you flush it out Saint Anger round my neck You flush it out you flush it out He never gets respect Fuck it all and fuckin no regrets I hit the lights on these dark sets I need a voice to let myself To let myself go free Fuck it all and fuckin no regrets I hit the lights on these dark sets Medallion noose I hang myself Saint Anger round my neck I feel my world shake Like an earthquake It s hard to see clear Is it me? Is it fear? I m madly in anger with you I m madly in anger with you I m madly in anger with you I m madly in anger with you And I want my anger to be healthy And I want my anger just for me And I need my anger not to control And I want my anger to be me And I need to set my anger free And I need to set my anger free And I need to set my anger free And I need to set my anger free Set it free Fuck it all and fuckin no regrets I hit the lights on these dark sets I need a voice to let myself To let myself go free Fuck it all and fuckin no regrets I it the lights on these dark sets I tie noose to hang myself Saint Anger round my neck I feel my world shake Like an earthquake It s hard to see clear Is it me? Is it fear? I m madly in anger with you I m madly in anger with you I m madly in anger with you I m madly in anger with you ,Metallica
They do their best they do what they can They get them ready for Viet Nam From old Hanoi to East Berlin Commando---Involved again They do their best they do what they can They get them ready for Viet Nam First rule is: The laws of Germany Second rule is: Be nice to mommy Third rule is: Don t talk to commies Fourth rule is: Eat kosher salamis They do their best they do what they can They get them ready for Viet Nam From old Hanoi to East Berlin Commando---Involved again They do their best they do what they can They get them ready for Viet Nam First rule is: The laws of Germany Second rule is: Be nice to mo-mo-mo-mommy Third rule is: Don t talk to commies Fourth rule is: Eat kosher salamis,Metallica
Now I wanna sniff some glue Now I wanna have somethin to do All the kids wanna sniff some glue All the kids want somethin to do Now I wanna sniff some glue Now I wanna have somethin to do All the kids wanna sniff some glue All the kids want somethin to do One-two-three-four- One-two-three RIFF Yeah Now I wanna sniff some glue Now I wanna have somethin to do All the kids wanna sniff some glue All the kids want somethin to do yeah Now I wanna sniff some glue Now I wanna have somethin to do All the kids wanna sniff some glue All the kids want somethin to do take that with you ,Metallica
I m a shock trooper in a stupor Yes I am I m a Nazi schatze Why know I fight for fatherland I m a shock trooper in a stupor Yes I am I m a Nazi schatze Why know I fight for fatherland Little German boy Being pushed around Little German boy In a German town I m a shock trooper in a stupor Yes I am I m a Nazi schatze Why know I fight for fatherland I m a shock trooper in a stupor Yes I am I m a Nazi schatze Why know I fight for fatherland Little German boy Being pushed around Little German boy In a German t Today your love tomorrow the world ,Metallica
If you think you can well come on man I was a Green Beret in Viet Nam No more of your fairy stories Cause I got my other worries 53rd and 3rd Standing on the street 53rd and 3rd I m tryin to turn a trick 53rd and 3rd You re the one they never pick 53rd and 3rd Don t make you feel sick ? Then I took out my razor blade Then I did what God forbade Now the cops are after me But I proved that I m no sissy ,Metallica
These are the eyes that can t see me These are the hands that drop your trust These are the boots that kick you around This is the tongue that speaks on the inside These are the ears that ring with hate This is the face that I ll never change This is the fist that grinds you down This is the voice of silence no more These are the legs in circles run This is the beating you ll never know These are the lips that taste no freedom This is the feel that s not so safe This is the face you ll never change This is the god that ain t so pure This is the god that is that pure This is the voice of silence no more We the people Are we the people? We the people Are we the people? Some kind of monster Some kind of monster Some kind of monster This monster lives This is the face that stones you cold This is the moment that needs to breathe These are the claws that scratch these wounds This is the pain that never leaves This is the tongue that whips you down This is the burden of every man These are the screams that pierce your skin This is the voice of silence no more Yeah yeah yeah yeah yeah yeah yeah yeah This is the test of flesh and soul This is the trap that smells so good This is the flood that drains these eyes These are the looks that chill to the bone These are the fears that swing over head These are the weights that hold you down This is the end that will never end This is the voice of silence no more We the people Are we the people? We the people Are we the people? Some kind of monster Some kind of monster Some kind of monster This monster lives This is the cloud that swallows trust This is the black that uncolors us This is the face that you hide from This is the mask that comes undone Ominous I m in us Ominous I m in us Ominous I m in us Ominous I m in us This is the cloud that swallows trust This is the black that uncolors us This is the face that you hide from This is the mask that comes undone Ominous I m in us Ominous I m in us Ominous I m in us Ominous I m in us Are we the people? Some kind of monster Some kind of monster Some kind of monster This monster lives,Metallica
Guilty as charged But damn it it ain t right There is someone else controlling me Death in the air Strapped in the electric chair This can t be happening to me Who made you God to say I ll take your life from you Flash before my eyes Now it s time to die Burning in my brain I can feel the flames Wait for the sign To flick the switch of death It s the beginning of the end Sweat chilling cold As I watch death unfold Consciousness my only friend My fingers grip with fear What I am doing here? Flash before my eyes Now it s time to die Burning in my brain I can feel the flames Someone help me Oh please God help me They are trying to take it all away I don t want to die Time moving slowly The minutes seem like hours The final curtain call I see How true is this? Just get it over with If this is true just let it be Wakened by the horrid cream Freed from the frightening dream Flash before my eyes Now it s time to die Burning in my brain I can feel the flames,Metallica
Been here before x6 Been here before couldn t say I liked it Do I start writing all this down? Just let me plug you into my world Can t you help me be uncrazy? Name this for me heat the cold air Take the chill off of my life And if I could I d turn my eyes To look inside to see what s comin It comes alive It comes alive It comes alive And I die a little more It comes alive It comes alive It comes alive Each moment here I die a little more Then the unnamed feeling It comes alive Then the unnamed feeling Takes me away Been here before x6 I m frantic in your soothing arms I can not sleep in this down filled world I ve found safety in this loneliness But I can not stand it anymore Cross my heart hope not to die Swallow evil ride the sky Lose myself in a crowded room You fool you fool it ll be here soon It comes alive It comes alive It comes alive And I die a little more It comes alive It comes alive It comes alive Each moment here I die a little more Ooh I die I die I die a little more Then the unnamed feeling It comes alive Then the unnamed feeling Treats me this way And I wait for this train Toes over the line And then the unnamed feeling Takes me away Takes me Then the unnamed feeling It comes alive Then the unnamed feeling Takes me away Takes me away Then the unnamed feeling It comes alive Then the unnamed feeling Treats me this way And I wait for this train Toes over the line And then the unnamed feeling Takes me away Takes me away Then the unnamed feeling It comes alive Then the unnamed feeling Takes me away Get the fuck out of here I just want to get the fuck away from me I rage I glaze I hurt I hate I hate it all Why? Why? Why me? I cannot sleep with a head like this I want to cry I want to scream I rage I glaze I hurt I hate I want to hate it all away,Metallica
Sleep and dream of this Death angel s kiss Brings final bliss Don t believe it Empty are they Death won t you let me stay? Empty they say Death won t you call your name? Oh call your name Suicide I ve already died It s just the funeral I ve been waiting for Cyanide living dead inside Break this empty shell forevermore Wait wait patiently Your death-black wings Unfolding sleep Treading on me Empty they say Death won t you let me stay? Empty they say Death hear me call your name Oh call your name Suicide I ve already died It s just the funeral I ve been waiting for Cyanide living dead inside Break this empty shell forevermore Say is that rain or are they tears? That stained your concrete face for years Crying weeping shedding strife Year after year life after life A narrow freshly broken ground A concrete angel laid right down Upon the moon that swallows fast It s peace at last Oh peace at last Empty they say Death won t you let me stay? Empty they say Death hear me call your name Oh call your name Suicide I ve already died It s just the funeral I ve been waiting for Cyanide living dead inside Break this empty shell forevermore Forevermore Forevermore It s the funeral I ve been waiting for ,Metallica
Need More and more Tainted misery Bleed Battle scars Chemical affinity Reign Legacy Innocence corrode Stain Rot away Catatonic overload Choke Asphyxia Snuff reality Scorch Kill the light Incinerate celebrity Reaper Butchery Karma amputee Bloodline Breeding fine Death contagious deity Hooked into this deceiver Need more and more Into the endless fever Need more and more New consequence machine Burn through all your gasoline Asylum overtime Never mind You reach the end of the line Time Choke the clock Steal another day Die Faithfully Narcissistic fade away Twisted Jump the rail Shout at the crowd below Breaker Chase the ghost The latest high to all time low Hooked into this deceiver Need more and more Into the endless fever Need more and more New consequence machine Burn through all your gasoline Asylum overtime Never mind You reach the end of the line Drop the hourglass of time Spinning sand we will not find As we gather here today We bid farewell The slave becomes the master The slave becomes the master The slave becomes the master The slave becomes the master Need more and more Right now and ever after Need more and more New consequence machine Burn through all your gasoline Asylum overtime Never mind Dead hourglass of time Sand we will not ever find We gather here today Say goodbye Cause you ve reached the end of the line The end of the line The end of the line The end of the line You ve reached the end of the line,Metallica
I ve gotta see you moving fast see you come my way See the dreams I hope they last never fade away Gotta see the lights above make it last tonight I can see the thunder roar gon treat you right See the flashing lights hear the thunder roar I am gonna set you all alight Gotta make it man I ain t got a choice Gotta fill this hall tonight Helpless yeah,Metallica
Now I see his face I see his smile Such a lonely place no golden mile Eyes tell of morbid tales of his black heart His deeds through ages past tell of his part See his face see his smile Time to die Yo-ooh waoh no Angel from below change my dreams I want for glory s hour for wealth s esteem I wish to sell my soul to be reborn I wish for earthly riches don t want no crown of thorns See his face see his smile Time to die Woah oh no I was born a fool don t want to stay that way Devil take my soul with diamonds you repay I don t care for heaven so don t you look for me to cry And I will burn in hell from the day I die See his face see his smile Time to die Woah oh no,Metallica
Unos dos tres catorce Turn it up loud captain Lights go down it s dark The jungle is your head can t rule your heart A feeling s so much stronger than a thought Your eyes are wide and though your soul it can t be bought Your mind can wander Hello hello hola I m at a place called Vertigo ¿dónde está? It s everything I wish I didn t know Except you give me something I can feel feel The night is full of holes Cause bullets rip the sky of ink with gold They twinkle as the boys play rock and roll They know that they can t dance at least they know I can t stand the beat I m asking for the check Girl with crimson nails has Jesus around her neck Swinging to the music swinging to the music whoa whoa Whoa whoa whoa Hello hello hola I m at a place called Vertigo ¿dónde está? It s everything I wish I didn t know But you give me something I can feel feel Checkmate Jazz funk Show made it in yeah All of this all of this can be yours All of this all of this can be yours All of this all of this can be yours Just give me what I want and no one gets hurt Hello hello hola We re at a place called Vertigo ¿dónde está? Lights go down and all I know Is that you give me something I can feel your love teaching me how Your love is teaching me how How to kneel Kneel Yeah yeah yeah yeah yeah yeah yeah yeah Yeah yeah yeah yeah yeah yeah yeah yeah,Metallica
I am Iron Man Come on let s go fuck you up Oh oh oh oh Oh oh oh oh Has he lost his mind? Can he see or is he blind? Can he walk at all? Or if he moves will he fall? Oh oh oh oh Is he alive or dead? Has he thoughts within his head? We ll just pass him there Why should we even care? Come on you fuckers God bless you all Oh oh oh oh Oh oh oh oh He was turned to steel In the great magnetic field Where he traveled time For the future of mankind Nobody wants him They just turn their head Nobody helps him Now he waits in regret I wanna hear everybody now come on Oh oh oh oh Oh oh oh oh Now the time is here For Iron Man to spread fear Vengeance from the grave Kills the people he once saved Nobody wants him They just turn their head Nobody helps him So he waits in regret Alright let s see a fucking wild call Come on Come on Go fucking crazy,Metallica
Finished with my woman cause she couldn t help me with my mind People think I m insane because I am frowning all the time All day long I think of things but nothing seems to satisfy Think I ll lose my mind if I don t find something to pacify Can you help me occupy my brain? Oh yeah let me see you I need someone to show me the things in life that I can t find I can t see the things that make true happiness I must be blind Make a joke and I will sigh and you will laugh and I will cry Happiness I cannot feel and love to me is so unreal And so as you hear these words telling you now of my state I tell you to enjoy life I wish I could but it s too late,Metallica
Standin on a corner Suitcase in my hand Jack s in his car says to Jane who s in her vest Me babe I m in a rock n roll band Ridin in a Stutz Bearcat Jim Those were different times And the poets studied rows of verse And all the ladies rolled their eyes Sweet Jane Sweet Jane Sweet Jane Now Jack he is a banker And Jane she is a clerk And the both of them are saving up their money Then they come home from work Sittin by the fire Radio just played a little classical music for you kids The march of the wooden soldiers And you can hear Jack say Sweet Jane Sweet Jane Sweet Jane Some people like to go out dancing And other people like us they gotta work And there s always some evil mothers They ll tell you life is full of dirt And the women never really faint And the villans always blink their eyes And the children are the only ones who blush Cause life is just to die But anyone who has a heart Wouldn t want to turn around and break it And anyone who ever played the part He wouldn t want to turn around and fake it Sweet Jane,Metallica
Girl you really got me goin You got me so I don t know what I m doin now Yeah you really got me now You got me so I can t sleep at night Yeah you really got me now You got me so I don t know what I m doin now Oh yeah you really got me now You got me so I can t sleep at night You really got me You really got me You really got me See don t ever set me free I always want to be by your side Girl you really got me now You got me so I can t sleep at night Yeah you really got me now You got me so I don t know what I m doin now Oh yeah you really got me now You got me so I can t sleep at night You really got me You really got me You really got me Oh no See don t ever set me free I always want to be by your side Girl you really got me now You got me so I can t sleep at night Yeah you really got me now You got me so I don t know what I m doin now Oh yeah you really got me now You got me so I can t sleep at night You really got me You really got me You really got me,Metallica
Guilty as charged But damn it it ain t right There is someone else controlling me Death in the air Strapped in the electric chair This can t be happening to me Who made you God to say I ll take your life from you Flash before my eyes Now it s time to die Burning in my brain I can feel the flames Wait for the sign To flick the switch of death It s the beginning of the end Sweat chilling cold As I watch death unfold Consciousness my only friend My fingers grip with fear What I am doing here? Flash before my eyes Now it s time to die Burning in my brain I can feel the flames Someone help me Oh please God help me They are trying to take it all away I don t want to die Someone help me Oh please God help me They are trying to take it all away I don t want to die Time moving slowly The minutes seem like hours The final curtain call I see How true is this? Just get it over with If this is true just let it be Wakened by the horrid Scream Freed from the frightening dream Flash before my eyes Now it s time to die Burning in my brain I can feel the flames,Metallica
You don t actually care Love for you is no beginning You re not really there Hallucination I thought you were listening Hallucination I thought you were listening Hallucination I understand you think you re above it The adolescent sense of the sky The feeling of billowing heartbeats The fingertips run through your hair They run through your hair Hallucination Hallucination Oh you think you re so special That there s no law meant for you You come and go like the goddess you are We re mere mortals below Fingertips run through your hair We are mere mortals below Are meant to be peons Are meant to be servants Are meant to be dismissible objects One fucks with One fucks with Poor pitiful creature The winner in heartbreak The winner in caring The winner in every minuscule method of wearing Your heart on your sleeve A red star of idiocy An idiot s idiocy My my caring for you Caring for you Do you think we re a book Some kind of a table You can rest your feet on when you re able Red star of idiocy An idiot s idiocy My caring for you Poor pitiful creature To notice the pining The self deprivation The self flagellation of you Dear worshipers We do like you regal We do like you haughty We do love to look upon your perfect body The hair on your shoulders The smell of your armpit The taste of your vulva and everything on it We all really love you And you have no meaning You don t even see us You were never caring You go do what you do You do it for you No one exists with you You re way above caring Leave a trail upon the wake That no one ever tries to take Because waiting for you Thinking of you Is another way of dying Is another way of dying I m clawing your chest Til your collarbone bleeds Piercing your nipples til I bite them off I scratch your face and bite your shoulders Way above caring Way above caring And your Kotex jukebox Your Kotex jukebox I m doomed I m swearing Waiting for you In your high heels and nightie Your leather dress squeaking Latex now sweating waiting for you In your tincture Your opium white bathrobe Your white tiles run red now Are we both dead now? The liquid exchange of our heart The liquid exchange of our heart Are we both dead now? You re way above caring Your heart on your sleeve A red star of idiocy An idiot s idiocy My caring My caring for you My caring for you You re way beyond caring Your heart on your sleeve A red star of idiocy An idiot s idiocy My caring for you Oblivious to caring Oblivious to caring Oblivious to caring Leave a trail upon the wake That no one ever tries to take Because waiting for you Because thinking of you Is another way of dying You re way above caring Oblivious to caring Oblivious to caring You poor pitiful creature The mistake of feeling The one who rejects you is the winner It s true The winner in heartbreak The winner in caring The winner in every minuscule method of wearing Your heart on your sleeve A red star of idiocy An idiot s idiocy Your heart on your fuckin sleeve My caring for you We were meant to be peons We re meant to be peons Mere mortals below Meant to be servants Meant to be dismissible objects one fucks with Oh oh oh you re so special No law meant for you You come and go like the goddess you are The fingertips run through your hair A billowing heart beats Feeling Feeling What a glorious feeling To be so rejected So rejected An idiot s idiocy My caring for you You think I m a book or a table You can rest your fuckin feet on When you re able The taste of your vulva everything on it The hair on your shoulders The smell of your armpit We do love you to look upon your perfect body We love you regal We love you haughty Oblivious to caring Oblivious to caring Caring Oh my dear Oh my dear Oh my dear Oblivious to caring Are we really dead now? Are we both dead now?,Metallica
Frustration In my lexicon of hate I see you with your portraiture Does he love you? Does he love you too? The brush strokes Kiss your breasts and toes I cry icicles in my stein The heartbeats flutter With an abnormal rhythm The pain shoots through my body A sword between my thighs I wish that I could kill you But I too love your eyes You re feeling less whore but you stimulate The hatred smolders in your eyes I d drop to my knees in a second To salivate in your thighs But all I do is fall over I don t have the strength I once had In you and your prickless lover And his easel in his eyes I feel the pain creep up my leg Blood runs from my nose I puke my guts out at your feet You re more man than I To be dead to have no feeling To be dry and spermless like a girl I want so much to hurt you I want so much to hurt you I want so much to hurt you Marry me I want you as my wife Spermless like a girl More man than I More man than I Frustration In my lexicon of hate You re feeling less like a whore but you Stimulate All I do is fall over I don t have the strength I once had All I do is fall over I don t have the strength I once had I want you so much to hurt you I want so much to hurt you I want so much to hurt you I want you as a wife Frustration is my lexicon of hate Frustration is my lexicon of hate Fru fru frustration my lexicon of hate I cry icicles Heartbeats flutter Abnormal rhythm I wish that I could kill you But I too love your eyes I want you as my wife I want you as my wife Spermless like a girl Lucky in feeling More man than I Marry me marry me marry me I want you as a wife Spermless like a girl Puking my guts at your feet More man than I Fru fru fru frustration Frustration,Metallica
